Fecha,"Cultivo de banano, café y cacao",Otros cultivos agrícolas,"Cría de ganado, otros animales; productos animales; y actividades de apoyo","Silvicultura, extracción de madera y actividades relacionadas",Pesca y acuicultura,"Extracción de petróleo crudo, gas natural y servicios relacionados","Extracción de minerales metálicos y no metálicos; y, actividades de apoyo a las minas y canteras","Procesamiento de productos cárnicos, pescado y otros productos acuáticos elaborados","Elaboración de productos de la molinería, panadería, fideos y de otros productos farináceos",Elaboración y refinación de azúcar,Elaboración de otros productos alimenticios diversos,Elaboración de bebidas,Elaboración de productos de tabaco,"Fabricación de productos textiles, prendas de vestir; fabricación de cuero, productos de cuero y calzado",Producción de madera y de productos de madera,Fabricación de papel y productos de papel,Fabricación de productos refinados de petróleo y de otros productos,"Fabricación de sustancias y productos químicos, del caucho y plástico",Fabricación de productos metálicos y no metálicos,"Fabricación de maquinaria y equipo; y, equipo de transporte",Industrias manufactureras n.c.p.,"Generación, captación y distribución de energía eléctrica, agua; y, saneamiento",Construcción,Comercio al por mayor y al por menor; y servicios de reparación de vehículos automotores y motocicletas,Alojamiento y servicios de alimento y bebida,Transporte y almacenamiento,"Actividades postales, correo, comunicaciones e información","Servicios financieros y seguros, excepto seguridad social",Actividades inmobiliarias,"Actividades profesionales, técnicas y administrativas","Administración pública, defensa; planes de seguridad social obligatoria",Servicios a los hogares,Hogares privados con servicio doméstico,Valor Agregado Bruto (VAB),Otros Elemento del PIB,TOTAL PIB
1981-08-16,449.13787633253395,1096.6408970765374,911.775662481653,82.56491064219041,149.3536198661118,787.7531932131692,58.477064597018796,131.66451996895813,586.1815107356725,146.20794836267106,282.8751731157022,83.165969864284,3.002043553166428,943.4172598999568,288.58012760330564,106.38637552144105,542.5161256198346,216.13786601582171,346.4391151726782,294.8303538201246,43.73822385644314,87.22519698988526,539.4108655621912,1521.9842274874186,387.084061006498,1721.6370428335917,24.361413456521888,582.5481725172865,4822.854000522624,435.30631420277905,1093.1425361983468,1605.711708940576,440.6152887747654,20812.726665811762,610.2644333884296,21422.99109920019
1981-08-23,448.12808089290877,1093.9267523913095,912.9222323882481,82.59587229438347,149.56093096170463,786.445808459574,58.44646354016821,130.939249847997,586.130030690143,145.68927427561573,282.37904206386133,83.0963461666297,2.970498014217101,944.5695488449212,287.6581219834738,106.3799875384313,543.3931719008236,215.48713376176,345.88690275031655,294.85110108554323,43.58480475153616,86.72963818320135,538.8208133972696,1516.5311192857516,386.1866474349842,1720.5019204999555,24.141151614817826,581.3822697116194,4806.592280936918,435.7463027020651,1091.6598390082686,1603.643111256991,439.3166583337336,20776.293106969144,607.9635930578581,21384.256700027003
1981-08-30,447.1182854532713,1091.212607706049,914.0688022948572,82.62683394657691,149.76824205729991,785.138423705963,58.415862483317255,130.2139797270271,586.0785506446128,145.17060018855418,281.8829110120145,83.02672246897455,2.938952475267393,945.7218377898994,286.7361163636308,106.37359955542146,544.2702181818232,214.8364015076904,345.3346903279482,294.87184835096207,43.43138564662733,86.23407937651146,538.2307612323408,1511.078011084019,385.2892338634595,1719.3667981663057,23.920889773111107,580.2163669059383,4790.330561351015,436.1862912013565,1090.1771418181727,1601.5745135733812,438.01802789268606,20739.859548126085,605.662752727259,21345.522300853347
1981-09-06,446.10849001364613,1088.4984630208212,915.2153722014524,82.65779559876995,149.97555315289273,783.8310389523679,58.38526142646667,129.48870960606592,586.0270705990832,144.65192610149884,281.38677996017367,82.95709877132025,2.907406936318066,946.8741267348638,285.81411074379895,106.36721157241172,545.1472644628122,214.18566925362867,344.78247790558646,294.8925956163807,43.27796654172034,85.73852056982753,537.6407090674192,1505.6249028823518,384.3918202919457,1718.2316758326692,23.70062793140704,579.0504641002713,4774.068841765308,436.62627970064256,1088.6944446280947,1599.5059158897961,436.7193974516543,20703.42598928347,603.3619123966877,21306.787901680156
1981-09-13,445.0986945740209,1085.7843183355933,916.3619421080475,82.68875725096301,150.18286424848554,782.5236541987726,58.354660369616084,128.76343948510478,585.9755905535536,144.1332520144435,280.8906489083329,82.88747507366595,2.8758613973687392,948.0264156798282,284.8921051239671,106.36082358940196,546.0243107438013,213.53493699956695,344.23026548322474,294.9133428817993,43.12454743681336,85.24296176314363,537.0506569024975,1500.1717946806848,383.49440672043187,1717.096553499033,23.480366089702983,577.8845612946043,4757.807122179602,437.06626819992863,1087.2117474380166,1597.437318206211,435.42076701062246,20666.992430440852,601.0610720661163,21268.05350250697
1981-09-20,444.08889913439566,1083.0701736503654,917.5085120146427,82.71971890315606,150.39017534407836,781.2162694451774,58.3240593127655,128.03816936414364,585.9241105080241,143.61457792738818,280.39451785649203,82.81785137601165,2.844315858419412,949.1787046247925,283.97009950413525,106.35443560639222,546.9013570247903,212.8842047455052,343.6780530608631,294.9340901472179,42.97112833190637,84.74740295645971,536.4606047375759,1494.7186864790178,382.59699314891805,1715.9614311653968,23.260104247998918,576.7186584889372,4741.545402593894,437.5062566992147,1085.7290502479386,1595.368720522626,434.1221365695906,20630.558871598234,598.760231735545,21229.31910333378
1981-09-27,443.07910369475826,1080.3560289651048,918.6550819212518,82.75068055534949,150.59748643967367,779.9088846915664,58.293458255914544,127.31289924317373,585.8726304624939,143.09590384032663,279.8983868046452,82.7482276783565,2.8127703194697045,950.3309935697708,283.04809388429226,106.34804762338239,547.7784033057899,212.23347249143563,343.1258406384947,294.9548374126368,42.817709226997536,84.25184414976981,535.8705525726471,1489.265578277285,381.69957957739337,1714.826308831747,23.0398424062922,575.5527556832561,4725.283683007992,437.9462451985061,1084.2463530578427,1593.300122839016,432.8235061285431,20594.12531275518,596.4593914049458,21190.584704160123
1981-10-04,442.069308255133,1077.6418842798769,919.801651827847,82.78164220754255,150.8047975352665,778.6014999379712,58.26285719906396,126.58762912221258,585.8211504169643,142.5772297532713,279.40225575280436,82.6786039807022,2.781224780520377,951.4832825147353,282.12608826446046,106.34165964037263,548.6554495867789,211.5827402373739,342.573628216133,294.9755846780554,42.664290122090556,83.75628534308589,535.2805004077254,1483.812470075618,380.80216600587954,1713.6911864981107,22.819580564588136,574.3868528775891,4709.021963422285,438.3862336977922,1082.7636558677646,1591.231525155431,431.52487568751127,20557.69175391256,594.1585510743744,21151.850304986932
1981-10-11,441.0595128155078,1074.9277395946492,920.9482217344422,82.8126038597356,151.0121086308593,777.294115184376,58.23225614221337,125.86235900125142,585.7696703714348,142.05855566621597,278.9061247009636,82.6089802830479,2.7496792415710503,952.6355714596997,281.20408264462856,106.33527165736288,549.5324958677679,210.9320079833122,342.0214157937713,294.996331943474,42.51087101718357,83.26072653640198,534.6904482428038,1478.359361873951,379.9047524343657,1712.5560641644743,22.599318722884075,573.2209500719221,4692.760243836578,438.82622219707827,1081.2809586776866,1589.162927471846,430.22624524647944,20521.258195069942,591.8577107438031,21113.115905813745
1981-10-18,440.0497173758826,1072.2135949094213,922.0947916410374,82.84356551192866,151.2194197264521,775.9867304307808,58.20165508536279,125.13708888029026,585.7181903259052,141.53988157916064,278.4099936491227,82.53935658539359,2.7181337026217234,953.787860404664,280.28207702479676,106.32888367435312,550.4095421487569,210.28127572925044,341.4692033714096,295.0170792088926,42.35745191227659,82.76516772971806,534.1003960778821,1472.906253672284,379.0073388628519,1711.420941830838,22.379056881180013,572.0550472662551,4676.498524250872,439.26621069636434,1079.7982614876087,1587.094329788261,428.92761480544766,20484.824636227324,589.5568704132316,21074.381506640555
